,code,real,predic,real_pct,pre_pct
70,sh.601186,7.94,9.138475,0.005063291139240533,0.007043242454528809
107,sh.601868,2.38,3.6066432,0.00421940928270037,-0.01773315668106079
12,sh.600048,17.52,17.822653,0.0034364261168384758,0.021976709365844727
116,sh.601939,6.08,7.2679505,0.0033003300330032292,-0.007664918899536133
58,sh.601006,6.61,7.895047,0.003034901365705611,0.000644683837890625
33,sh.600406,27.080000000000002,28.768478,0.002962962962963056,-0.005124568939208984
13,sh.600050,3.47,4.8415155,0.0028901734104047616,-0.0038151144981384277
79,sh.601328,4.990000000000001,6.221858,0.002008032128514081,0.007070422172546387
134,sh.603501,173.34999999999997,161.49843,0.0018493902791421046,0.03458130359649658
22,sh.600183,17.02,18.074121,0.0017657445556209517,0.006164669990539551
132,sh.603392,155.44,146.73619,0.0009014810045073762,-0.017400085926055908
129,sh.603288,90.4,86.00904,0.00044267374944673143,0.029160737991333008
84,sh.601398,4.7700000000000005,5.7278337,0.0,-0.02123945951461792
118,sh.601988,3.2599999999999993,4.3894734,0.0,-0.002739131450653076
68,sh.601166,19.9,20.336508,0.0,0.016361713409423828
69,sh.601169,4.54,5.910799,0.0,-0.0004960298538208008
102,sh.601818,3.0099999999999993,4.498905,0.0,-0.02029472589492798
74,sh.601229,6.55,7.8804026,0.0,0.005428433418273926
8,sh.600028,4.08,5.2527757,0.0,0.009529829025268555
5,sh.600018,5.83,7.2258453,0.0,0.0005551576614379883
92,sh.601669,7.86,9.259057,-0.0012706480304954804,0.008774757385253906
115,sh.601919,13.88,14.665657,-0.0014388489208631006,0.010663628578186035
23,sh.600188,39.4,38.688026,-0.0020263424518742745,0.07401430606842041
121,sh.601998,4.740000000000001,6.1227593,-0.002105263157894721,-0.008052647113800049
85,sh.601600,4.740000000000001,5.9997253,-0.002105263157894721,-0.0013874173164367676
0,sh.600000,7.99,9.284003,-0.0024968789013731785,0.004030108451843262
88,sh.601628,31.0,32.083466,-0.002574002574002532,-0.0071114301681518555
94,sh.601698,11.28,12.637698,-0.0026525198938992522,0.017486929893493652
95,sh.601728,3.72,5.2333126,-0.002680965147453196,0.0058786869049072266
4,sh.600016,3.710000000000001,5.0422187,-0.0026881720430105283,0.023874878883361816
86,sh.601601,23.46,24.622698,-0.002974925626859304,0.011048436164855957
76,sh.601288,3.0099999999999993,3.5845256,-0.0033112582781459343,-0.0519869327545166
36,sh.600438,59.66,57.8902,-0.003341129301704049,-0.011823534965515137
141,sh.603993,5.710000000000001,6.1457596,-0.003490401396160525,-0.06056112051010132
3,sh.600015,5.19,6.5215774,-0.0038387715930903177,0.004468560218811035
112,sh.601898,10.339999999999998,11.629289,-0.003853564547206423,0.03732717037200928
143,sz.000001,14.92,15.431108,-0.004005340453938744,0.015196084976196289
